# Zoyla Test Results
# Exported: 2025-12-22T19:51:52.795Z
# URL: https://httpbin.org/get
# Method: GET
# Total Requests: 500
# Successful: 234
# Failed: 266
# Total Time: 4.8183s
# Requests/sec: 103.77
# Avg Response: 981.65ms
# Min Response: 0.20ms
# Max Response: 4816.42ms

request_num,status,duration_ms,success,timestamp_ms,error
1,0,5.08,false,18.13,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458860000_3402346743)"
2,0,6.06,false,18.16,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976457914000_2307355919)"
3,0,17.18,false,18.18,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446799000_3507444565)"
4,0,3.48,false,18.30,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976460623000_1918084516)"
5,0,18.58,false,21.14,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448366000_2189328283)"
6,0,16.05,false,21.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451640000_3023774770)"
7,0,16.80,false,21.90,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450907000_2209834110)"
8,0,16.79,false,21.92,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450933000_3027171758)"
9,0,19.74,false,21.94,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448006000_2821010853)"
10,0,19.69,false,21.98,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448095000_1858545734)"
11,0,20.43,false,22.05,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447421000_808860779)"
12,0,20.14,false,22.06,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447717000_2186686556)"
13,0,18.18,false,22.09,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976449720000_3160986786)"
14,0,20.14,false,24.54,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450205000_3538855107)"
15,0,19.92,false,25.28,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451162000_1243414292)"
16,0,23.78,false,25.85,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447876000_260583028)"
17,0,20.75,false,26.40,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451462000_3916461832)"
18,0,24.32,false,27.00,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448481000_3035597443)"
19,0,23.31,false,27.68,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976450177000_2210511658)"
20,0,22.99,false,28.66,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451483000_3660056057)"
21,0,22.71,false,29.93,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453029000_1934448971)"
22,0,23.46,false,30.58,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452918000_1441562401)"
23,0,22.48,false,31.51,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454828000_1065930962)"
24,0,23.91,false,31.99,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453883000_1636834971)"
25,0,21.32,false,32.60,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976457091000_3320967589)"
26,0,21.97,false,33.16,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976456992000_2276865498)"
27,0,21.58,false,33.51,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976457735000_3452849747)"
28,0,21.49,false,33.85,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458166000_121243919)"
29,0,21.53,false,34.19,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458466000_3776725299)"
30,0,23.33,false,34.84,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976457313000_261411028)"
31,0,21.22,false,35.21,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976459792000_1160473056)"
32,0,35.12,false,35.69,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976446373000_1946153636)"
33,0,23.29,false,36.22,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458736000_1371281011)"
34,0,25.12,false,37.85,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458542000_3928648741)"
35,0,26.54,false,38.38,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976457651000_664435780)"
36,0,25.66,false,38.97,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976459114000_1527495123)"
37,0,26.89,false,39.23,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458146000_3593454209)"
38,0,26.97,false,39.49,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458326000_3324661888)"
39,0,25.07,false,39.77,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976460502000_3283922476)"
40,0,25.37,false,39.90,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976460337000_1706676388)"
41,0,26.00,false,40.38,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976460193000_133249583)"
42,0,28.04,false,40.82,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976458595000_3672661949)"
43,0,42.60,false,44.25,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976447459000_1175131426)"
44,0,38.54,false,44.71,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976451982000_2598658420)"
45,0,36.98,false,44.72,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453552000_14004617)"
46,0,38.12,false,44.73,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452415000_1866245868)"
47,0,37.05,false,44.74,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453498000_4286745481)"
48,0,36.64,false,44.75,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453910000_789529369)"
49,0,37.76,false,44.77,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452810000_3684278745)"
50,0,42.31,false,44.79,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976448282000_1767586446)"
51,0,36.75,false,44.80,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453852000_2587007298)"
52,0,37.29,false,44.83,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453338000_1638105505)"
53,0,37.21,false,44.84,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976453438000_2150232187)"
54,0,31.01,false,44.87,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976459664000_645263857)"
55,0,35.94,false,44.88,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976454745000_3902784208)"
56,0,38.61,false,44.91,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452108000_3005600502)"
57,0,38.61,false,44.95,"DNS resolution failed: error sending request for url (https://httpbin.org/get?_cb=1766432976452143000_2596943805)"
